name,code,state_id:id
Guatemala,101,base.state_gt_gua
Santa Catarina Pinula,102,base.state_gt_gua
San José Pinula,103,base.state_gt_gua
San José del Golfo,104,base.state_gt_gua
Palencia,105,base.state_gt_gua
Chinautla,106,base.state_gt_gua
San Pedro Ayampuc,107,base.state_gt_gua
Mixco,108,base.state_gt_gua
San Pedro Sacatepéquez,109,base.state_gt_gua
San Juan Sacatepéquez,110,base.state_gt_gua
San Raymundo,111,base.state_gt_gua
Chuarrancho,112,base.state_gt_gua
Fraijanes,113,base.state_gt_gua
Amatitlán,114,base.state_gt_gua
Villa Nueva,115,base.state_gt_gua
Villa Canales,116,base.state_gt_gua
Petapa,117,base.state_gt_gua
Guastatoya,201,base.state_gt_epr
Morazán,202,base.state_gt_epr
San Agustín Acasaguastlán,203,base.state_gt_epr
San Cristóbal Acasaguastlán,204,base.state_gt_epr
El Jícaro,205,base.state_gt_epr
Sansare,206,base.state_gt_epr
Sanarate,207,base.state_gt_epr
San Antonio la Paz,208,base.state_gt_epr
Antigua Guatemala,301,base.state_gt_sac
Jocotenango,302,base.state_gt_sac
Pastores,303,base.state_gt_sac
Sumpango,304,base.state_gt_sac
Santo Domingo Xenacoj,305,base.state_gt_sac
Santiago Sacatepéquez,306,base.state_gt_sac
San Bartolomé Milpas Altas,307,base.state_gt_sac
San Lucas Sacatepéquez,308,base.state_gt_sac
Santa Lucía Milpas Altas,309,base.state_gt_sac
Magdalena Milpas Altas,310,base.state_gt_sac
Santa María de Jesús,311,base.state_gt_sac
Ciudad Vieja,312,base.state_gt_sac
San Miguel Dueñas,313,base.state_gt_sac
Alotenango,314,base.state_gt_sac
San Antonio Aguas Calientes,315,base.state_gt_sac
Santa Catarina Barahona,316,base.state_gt_sac
Chimaltenango,401,base.state_gt_cmt
San José Poaquil,402,base.state_gt_cmt
San Martín Jilotepeque,403,base.state_gt_cmt
Comalapa,404,base.state_gt_cmt
Santa Apolonia,405,base.state_gt_cmt
Tecpán Guatemala,406,base.state_gt_cmt
Patzún,407,base.state_gt_cmt
Pochuta,408,base.state_gt_cmt
Patzicía,409,base.state_gt_cmt
Santa Cruz Balanyá,410,base.state_gt_cmt
Acatenango,411,base.state_gt_cmt
Yepocapa,412,base.state_gt_cmt
San Andrés Itzapa,413,base.state_gt_cmt
Parramos,414,base.state_gt_cmt
Zaragoza,415,base.state_gt_cmt
El Tejar,416,base.state_gt_cmt
Escuintla,501,base.state_gt_esc
Santa Lucía Cotzumalguapa,502,base.state_gt_esc
La Democracia,503,base.state_gt_esc
Siquinalá,504,base.state_gt_esc
Masagua,505,base.state_gt_esc
Tiquisate,506,base.state_gt_esc
La Gomera,507,base.state_gt_esc
Guanagazapa,508,base.state_gt_esc
San José,509,base.state_gt_esc
Iztapa,510,base.state_gt_esc
Palín,511,base.state_gt_esc
San Vicente Pacaya,512,base.state_gt_esc
Nueva Concepción,513,base.state_gt_esc
Cuilapa,601,base.state_gt_sro
Barberena,602,base.state_gt_sro
Santa Rosa de Lima,603,base.state_gt_sro
Casillas,604,base.state_gt_sro
San Rafael las Flores,605,base.state_gt_sro
Oratorio,606,base.state_gt_sro
San Juan Tecuaco,607,base.state_gt_sro
Chiquimulilla,608,base.state_gt_sro
Taxisco,609,base.state_gt_sro
Santa María Ixhuatán,610,base.state_gt_sro
Guazacapán,611,base.state_gt_sro
Santa Cruz Naranjo,612,base.state_gt_sro
Pueblo Nuevo Viñas,613,base.state_gt_sro
Nueva Santa Rosa,614,base.state_gt_sro
Sololá,701,base.state_gt_sol
San José Chacayá,702,base.state_gt_sol
Santa María Visitación,703,base.state_gt_sol
Santa Lucía Utatlán,704,base.state_gt_sol
Nahualá,705,base.state_gt_sol
Santa Catarina Ixtahuacán,706,base.state_gt_sol
Santa Clara la Laguna,707,base.state_gt_sol
Concepción,708,base.state_gt_sol
San Andrés Semetabaj,709,base.state_gt_sol
Panajachel,710,base.state_gt_sol
Santa Catarina Palopó,711,base.state_gt_sol
San Antonio Palopó,712,base.state_gt_sol
San Lucas Tolimán,713,base.state_gt_sol
Santa Cruz la Laguna,714,base.state_gt_sol
San Pablo la Laguna,715,base.state_gt_sol
San Marcos la Laguna,716,base.state_gt_sol
San Juan la Laguna,717,base.state_gt_sol
San Pedro la Laguna,718,base.state_gt_sol
Santiago Atitlán,719,base.state_gt_sol
Totonicapán,801,base.state_gt_tot
San Cristóbal Totonicapán,802,base.state_gt_tot
San Francisco el Alto,803,base.state_gt_tot
San Andrés Xecul,804,base.state_gt_tot
Momostenango,805,base.state_gt_tot
Santa María Chiquimula,806,base.state_gt_tot
Santa Lucía la Reforma,807,base.state_gt_tot
San Bartolo,808,base.state_gt_tot
Quetzaltenango,901,base.state_gt_que
Salcajá,902,base.state_gt_que
Olintepeque,903,base.state_gt_que
San Carlos Sija,904,base.state_gt_que
Sibilia,905,base.state_gt_que
Cabricán,906,base.state_gt_que
Cajolá,907,base.state_gt_que
San Miguel Siguilá,908,base.state_gt_que
